book,theme_no,theme_title,topic_no,topic_id,topic_title,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15
1,1,"Daily Life",1,b1-t01,"Home & Family","house","family","member","live","share","room","kitchen","bedroom","floor","garden","parent","child","together","clean","tidy"
1,1,"Daily Life",2,b1-t02,"Daily Routine","wake","morning","breakfast","school","lunch","afternoon","dinner","evening","sleep","early","late","busy","always","usually","routine"
1,1,"Daily Life",3,b1-t03,"Food & Meals","eat","cook","meal","hungry","delicious","vegetable","fruit","meat","drink","water","taste","fresh","market","buy","rice"
1,1,"Daily Life",4,b1-t04,"Shopping","purchase","price","cheap","expensive","pay","money","bag","clothes","size","choose","sell","customer","store","cost","receipt"
1,1,"Daily Life",5,b1-t05,"Clothes & Getting Dressed","wear","shirt","outfit","shoes","colour","pretty","look","fit","comfortable","jacket","hat","uniform","coat","season","pocket"
1,1,"Daily Life",6,b1-t06,"Health & Body","body","healthy","sick","doctor","hospital","medicine","exercise","pain","fever","rest","head","hand","strong","wash","feel"
1,1,"Daily Life",7,b1-t07,"Sports & Activities","sport","play","team","win","lose","practice","game","run","swim","ball","match","player","join","score","active"
1,1,"Daily Life",8,b1-t08,"Free Time & Hobbies","hobby","enjoy","music","draw","read","nap","film","craft","sing","paint","pastime","weekend","fun","favourite","free"
1,1,"Daily Life",9,b1-t09,"Transport & Getting Around","walk","bus","bike","car","road","drive","traffic","station","near","far","arrive","leave","ticket","journey","slow"
1,1,"Daily Life",10,b1-t10,"Weather & Seasons","weather","hot","cold","rain","sun","wind","cloud","season","dry","wet","temperature","warm","storm","snow","umbrella"
1,2,"World Around Us",11,b1-t11,"Animals & Pets","animal","pet","dog","cat","wild","feed","fur","tail","farm","zoo","dangerous","tame","owner","cage","care"
1,2,"World Around Us",12,b1-t12,"Nature & Countryside","nature","rock","stream","hill","mountain","forest","sky","lake","leaf","sprout","soil","air","insect","shadow","river"
1,2,"World Around Us",13,b1-t13,"My Street & Neighbourhood","street","cottage","road","junction","school","park","quiet","busy","building","area","pavement","archway","tower","nearby","district"
1,2,"World Around Us",14,b1-t14,"Countries & Travel","country","travel","visit","passport","language","culture","map","airport","hotel","tourist","foreign","ticket","flag","thrilling","different"
1,2,"World Around Us",15,b1-t15,"Parks & Green Spaces","park","bench","pond","bird","clean","peaceful","stroll","play","fresh","open","space","fountain","jog","picnic","shade"
1,2,"World Around Us",16,b1-t16,"Technology & Devices","phone","computer","internet","screen","app","message","email","online","device","button","search","camera","battery","connect","power"
1,2,"World Around Us",17,b1-t17,"School & Learning","school","teacher","student","lesson","learn","study","class","homework","exam","quiz","subject","library","notebook","topic","grade"
1,2,"World Around Us",18,b1-t18,"Jobs & Work","job","work","office","boss","salary","meeting","nurse","farmer","engineer","driver","tired","task","dream","apron","shift"
1,2,"World Around Us",19,b1-t19,"Food Around the World","noodle","bread","soup","spicy","sweet","sour","salty","dish","traditional","popular","plate","chopstick","raw","cook","unique"
1,2,"World Around Us",20,b1-t20,"Celebrations & Special Days","celebrate","holiday","festival","decorate","balloon","happy","together","firework","nation","parade","tradition","colourful","spectator","dance","music"
1,3,"People & Relationships",21,b1-t21,"Friends & Friendship","friend","kind","honest","trust","laugh","together","support","argument","forgive","close","meet","remember","miss","true","bond"
1,3,"People & Relationships",22,b1-t22,"Feelings & Emotions","feel","happy","sad","angry","worried","nervous","excited","proud","lonely","upset","calm","surprised","scared","feeling","show"
1,3,"People & Relationships",23,b1-t23,"Describing People (Appearance)","tall","short","thin","overweight","young","old","hair","eye","face","smile","beautiful","muscular","wear","appearance","similar"
1,3,"People & Relationships",24,b1-t24,"Family Relationships","parent","grandparent","sibling","uncle","aunt","cousin","relative","age","respect","older","younger","care","senior","blood","tight-knit"
1,3,"People & Relationships",25,b1-t25,"Meeting People","introduce","name","country","handshake","conversation","ask","reply","remember","forget","contact","first","gesture","talk","enjoy","courteous"
1,3,"People & Relationships",26,b1-t26,"Community & Neighbours","neighbour","help","noise","community","warm","lend","share","knock","door","outside","fence","garden","loud","peace","dispute"
1,3,"People & Relationships",27,b1-t27,"A Birthday Party","birthday","party","cake","candle","gift","invite","family","together","sing","eat","happy","dress","photo","remember","special"
1,3,"People & Relationships",28,b1-t28,"Children & Growing Up","child","grow","teenager","adult","young","age","future","game","learn","change","memory","brave","hope","ambition","independent"
1,3,"People & Relationships",29,b1-t29,"People I Know","person","funny","quiet","talkative","serious","clever","lazy","helpful","well-known","shy","noisy","warm","patient","manager","classmate"
1,3,"People & Relationships",30,b1-t30,"Being a Good Friend","loyal","support","encourage","advice","secret","comfort","company","argue","apologise","make up","stand by","miss","check on","grateful","generous"
1,4,"Learning & School",31,b1-t31,"Classroom & School Life","classroom","board","chalk","desk","chair","pen","pencil","rule","bell","break","corridor","canteen","timetable","uniform","gate"
1,4,"Learning & School",32,b1-t32,"Subjects & Lessons","maths","science","history","geography","art","music","English","sport","lesson","favourite","difficult","easy","understand","explain","score"
1,4,"Learning & School",33,b1-t33,"Reading & Writing","book","story","page","sentence","diary","poem","author","meaning","heading","chapter","notes","summary","review","copy","outline"
1,4,"Learning & School",34,b1-t34,"Numbers & Maths","number","count","add","subtract","multiply","divide","total","equal","solve","problem","correct","wrong","simple","half","result"
1,4,"Learning & School",35,b1-t35,"Exams & Tests","exam","prepare","pass","fail","nervous","time","mark","grade","period","revise","concentrate","paper","item","sheet","finish"
1,4,"Learning & School",36,b1-t36,"Libraries & Books","library","shelf","novel","magazine","dictionary","borrow","return","quiet","aisle","reading","card","print","fine","zone","catalogue"
1,4,"Learning & School",37,b1-t37,"Art & Creativity","art","clay","glue","scissors","fold","cut","design","creative","sketch","artist","pattern","original","idea","sculpture","exhibit"
1,4,"Learning & School",38,b1-t38,"Music & Performance","instrument","guitar","piano","concert","loud","rhythm","audience","band","note","voice","drum","tune","applaud","solo","stage"
1,4,"Learning & School",39,b1-t39,"Simple Experiments at School","experiment","liquid","cold","hot","change","watch","outcome","safe","careful","trial","find","step","observe","measure","record"
1,4,"Learning & School",40,b1-t40,"My English Class","speak","listen","repeat","fast","pair","role","activity","take turns","raise","volunteer","mistake","improve","effort","feedback","progress"
1,5,"Actions & Events",41,b1-t41,"Cooking & Recipes","recipe","ingredient","mix","boil","fry","bake","slice","pour","heat","prepare","follow","serve","amount","step","utensil"
